Respondent_ID,Q1_Why_Wishlist,Q2_Missing_Info,Q3_Current_Workaround,Q4_Return_Fear,Q5_Confident_App,Q6_Confidence_Reason,Q7_Magic_Feature
USR_001,Waiting for a price drop or sale,Realistic photos of normal people wearing it,Read customer reviews,A lot (I often abandon items just to avoid the return hassle),H&M,"Excellent, easy-to-read size charts",AI Size Predictor based on my past purchases
USR_002,Unsure if the size or fit will look good on me,Realistic photos of normal people wearing it,Read customer reviews,A lot (I often abandon items just to avoid the return hassle),Myntra,They have lots of customer photos in the reviews,Virtual Try-On (Seeing the clothes on a photo of myself)
USR_003,Waiting for a price drop or sale,"A reliable, easy-to-understand size chart",Read customer reviews,"Somewhat (It makes me hesitate, but I usually buy eventually)",AJIO,They have lots of customer photos in the reviews,AI Size Predictor based on my past purchases
USR_004,Waiting for a price drop or sale,Realistic photos of normal people wearing it,Read customer reviews,Not at all (I don't mind returning things),Myntra,They have lots of customer photos in the reviews,Virtual Try-On (Seeing the clothes on a photo of myself)
USR_005,Want to compare it with other options,"A reliable, easy-to-understand size chart",Order two sizes and return the one that doesn't fit,"Somewhat (It makes me hesitate, but I usually buy eventually)",Myntra,Their clothes run true-to-size consistently,Virtual Try-On (Seeing the clothes on a photo of myself)
USR_006,Waiting for a price drop or sale,Information about how stretchy or tight the fabric is,Look at customer photos uploaded in reviews,Not at all (I don't mind returning things),Myntra,They use an automated 'Size Recommender' quiz,Virtual Try-On (Seeing the clothes on a photo of myself)
USR_007,Unsure if the size or fit will look good on me,Realistic photos of normal people wearing it,Read customer reviews,A lot (I often abandon items just to avoid the return hassle),Myntra,They have lots of customer photos in the reviews,'People with your body type bought Size M' recommendations
USR_008,Unsure if the size or fit will look good on me,Realistic photos of normal people wearing it,Read customer reviews,A lot (I often abandon items just to avoid the return hassle),Zara,"Excellent, easy-to-read size charts",'People with your body type bought Size M' recommendations
USR_009,Unsure if the size or fit will look good on me,Information about how stretchy or tight the fabric is,Read customer reviews,A lot (I often abandon items just to avoid the return hassle),Zara,"Excellent, easy-to-read size charts",'People with your body type bought Size M' recommendations
USR_010,Waiting for a price drop or sale,Information about how stretchy or tight the fabric is,Order two sizes and return the one that doesn't fit,A lot (I often abandon items just to avoid the return hassle),Myntra,They have lots of customer photos in the reviews,Virtual Try-On (Seeing the clothes on a photo of myself)
USR_011,Unsure if the size or fit will look good on me,The exact height/weight measurements of the model,Order two sizes and return the one that doesn't fit,A lot (I often abandon items just to avoid the return hassle),H&M,They have lots of customer photos in the reviews,AI Size Predictor based on my past purchases
USR_012,Unsure if the size or fit will look good on me,Realistic photos of normal people wearing it,Read customer reviews,"Somewhat (It makes me hesitate, but I usually buy eventually)",Myntra,"Excellent, easy-to-read size charts",AI Size Predictor based on my past purchases
USR_013,Unsure if the size or fit will look good on me,Realistic photos of normal people wearing it,I just guess and hope for the best,"Somewhat (It makes me hesitate, but I usually buy eventually)",Myntra,They have lots of customer photos in the reviews,Virtual Try-On (Seeing the clothes on a photo of myself)
USR_014,Waiting for a price drop or sale,Information about how stretchy or tight the fabric is,Look at customer photos uploaded in reviews,A lot (I often abandon items just to avoid the return hassle),Myntra,Their clothes run true-to-size consistently,'People with your body type bought Size M' recommendations
USR_015,Need to ask friends/family for opinions,Information about how stretchy or tight the fabric is,Read customer reviews,"Somewhat (It makes me hesitate, but I usually buy eventually)",H&M,"Excellent, easy-to-read size charts",Virtual Try-On (Seeing the clothes on a photo of myself)
USR_016,Waiting for a price drop or sale,Realistic photos of normal people wearing it,Look at customer photos uploaded in reviews,A lot (I often abandon items just to avoid the return hassle),Zara,They use an automated 'Size Recommender' quiz,Virtual Try-On (Seeing the clothes on a photo of myself)
USR_017,Unsure if the size or fit will look good on me,Realistic photos of normal people wearing it,I just guess and hope for the best,Not at all (I don't mind returning things),Myntra,"Excellent, easy-to-read size charts",'People with your body type bought Size M' recommendations
USR_018,Unsure if the size or fit will look good on me,Information about how stretchy or tight the fabric is,Look at customer photos uploaded in reviews,"Somewhat (It makes me hesitate, but I usually buy eventually)",Myntra,They have lots of customer photos in the reviews,Virtual Try-On (Seeing the clothes on a photo of myself)
USR_019,Unsure if the size or fit will look good on me,The exact height/weight measurements of the model,Order two sizes and return the one that doesn't fit,"Somewhat (It makes me hesitate, but I usually buy eventually)",Myntra,They have lots of customer photos in the reviews,AI Size Predictor based on my past purchases
USR_020,Need to ask friends/family for opinions,Realistic photos of normal people wearing it,Look at customer photos uploaded in reviews,A lot (I often abandon items just to avoid the return hassle),AJIO,They use an automated 'Size Recommender' quiz,Virtual Try-On (Seeing the clothes on a photo of myself)
USR_021,Unsure if the size or fit will look good on me,"A reliable, easy-to-understand size chart",Read customer reviews,Not at all (I don't mind returning things),Myntra,They have lots of customer photos in the reviews,'People with your body type bought Size M' recommendations
USR_022,Waiting for a price drop or sale,Realistic photos of normal people wearing it,Read customer reviews,Not at all (I don't mind returning things),H&M,"Excellent, easy-to-read size charts",'People with your body type bought Size M' recommendations
USR_023,Unsure if the size or fit will look good on me,Realistic photos of normal people wearing it,Read customer reviews,"Somewhat (It makes me hesitate, but I usually buy eventually)",Myntra,They have lots of customer photos in the reviews,Virtual Try-On (Seeing the clothes on a photo of myself)
USR_024,Waiting for a price drop or sale,Realistic photos of normal people wearing it,I just guess and hope for the best,Not at all (I don't mind returning things),Myntra,They have lots of customer photos in the reviews,'People with your body type bought Size M' recommendations
USR_025,Unsure if the size or fit will look good on me,Realistic photos of normal people wearing it,I just guess and hope for the best,"Somewhat (It makes me hesitate, but I usually buy eventually)",Myntra,They use an automated 'Size Recommender' quiz,AI Size Predictor based on my past purchases
USR_026,Unsure if the size or fit will look good on me,Realistic photos of normal people wearing it,Look at customer photos uploaded in reviews,A lot (I often abandon items just to avoid the return hassle),Myntra,They use an automated 'Size Recommender' quiz,'People with your body type bought Size M' recommendations
USR_027,Need to ask friends/family for opinions,Realistic photos of normal people wearing it,Look at customer photos uploaded in reviews,A lot (I often abandon items just to avoid the return hassle),AJIO,They have lots of customer photos in the reviews,Virtual Try-On (Seeing the clothes on a photo of myself)
USR_028,Unsure if the size or fit will look good on me,Realistic photos of normal people wearing it,Read customer reviews,A lot (I often abandon items just to avoid the return hassle),Zara,"Excellent, easy-to-read size charts",AI Size Predictor based on my past purchases
USR_029,Waiting for a price drop or sale,Realistic photos of normal people wearing it,I just guess and hope for the best,"Somewhat (It makes me hesitate, but I usually buy eventually)",Zara,Their clothes run true-to-size consistently,AI Size Predictor based on my past purchases
USR_030,Unsure if the size or fit will look good on me,"A reliable, easy-to-understand size chart",Read customer reviews,A lot (I often abandon items just to avoid the return hassle),Myntra,They have lots of customer photos in the reviews,Hyper-detailed 3D body measurements
