source,date,content,rating
YouTube Comments,1 year ago,Can you share the outfit u ware,0
YouTube Comments,2 years ago,Can you plz share the link the outfit you wore,5
YouTube Comments,3 months ago,last one is from meesho not ajio 😂,5
YouTube Comments,1 year ago,Yellow t shirt size please,0
YouTube Comments,6 months ago,Sab ajio se hai,0
YouTube Comments,6 months ago,"Hi... My bust size is 32 which comes as size S on myntra. So, I bought all products of size S from myntra. 
But on AJIO 32 size comes under XS. what should I order for sweatshirt. XS or S ???? Please tell??????❤❤❤",2
YouTube Comments,8 months ago,"Hi, have you returned anything on ajio? If yes, then in how many days you received your refund?",3
YouTube Comments,6 months ago,I think you should still go for S becz you need little room for warmers. But if you want full fitted fit then go for Xs.,3
YouTube Comments,2 months ago,And if u return alot ajio will block u and platform fee will be 100,2
YouTube Comments,2 months ago (edited),Your jeans size please?? Becoz cant see how these top looked full,0
YouTube Comments,2 months ago (edited),1st Pink top size you r wearing ??,1
YouTube Comments,1 month ago,Don't buy from ajio first they send you the wrong product after that they deny your return meesho is far better than ajio,0
YouTube Comments,2 months ago,Jeans size 32 waist,0
YouTube Comments,2 months ago,Size M (bust 36),0
